ship_city,ship_state,ship_postal_code,ship_country
BIHARSHARIF,BIHAR,803115.0,IN
HYDERABAD,TELANGANA,500075.0,IN
PARAVUR,KERALA,683513.0,IN
BASTI,UTTAR PRADESH,272001.0,IN
WALAJAPET,TAMIL NADU,632513.0,IN
Dimapur,NAGALAND,797112.0,IN
Bengaluru,KARNATAKA,560029.0,IN
Mahendragarh,HARYANA,123027.0,IN
HYDERABAD,TELANGANA,500086.0,IN
New Delhi,DELHI,110019.0,IN
GURUGRAM,HARYANA,122002.0,IN
BENGALURU,KARNATAKA,560022.0,IN
MUMBAI,MAHARASHTRA,400069.0,IN
BIJNOR,UTTAR PRADESH,246722.0,IN
MUMBAI,MAHARASHTRA,400078.0,IN
ALLAHABAD,UTTAR PRADESH,211001.0,IN
VASAI VIRAR,MAHARASHTRA,401202.0,IN
BENGALURU,KARNATAKA,560087.0,IN
BIJNOR,UTTAR PRADESH,246701.0,IN
HYDERABAD,TELANGANA,500090.0,IN
BENGALURU,KARNATAKA,560075.0,IN
MANGALURU,KARNATAKA,575001.0,IN
HYDERABAD,TELANGANA,500034.0,IN
NEW TOWN,WEST BENGAL,700059.0,IN
MUMBAI,MAHARASHTRA,400016.0,IN
SAMBHAL,UTTAR PRADESH,244302.0,IN
NAGPUR,MAHARASHTRA,441002.0,IN
ELAVANASURKOTTAI,TAMIL NADU,607202.0,IN
SANGLI MIRAJ KUPWAD,MAHARASHTRA,416410.0,IN
MYSURU,KARNATAKA,570016.0,IN
ANKLESHWR,Gujarat,393002.0,IN
Chennai,TAMIL NADU,600117.0,IN
Greater Noida West,UTTAR PRADESH,201009.0,IN
JAMMU,JAMMU & KASHMIR,180007.0,IN
ITANAGAR,ARUNACHAL PRADESH,791113.0,IN
KOLKATA,WEST BENGAL,700075.0,IN
KARANJA,MAHARASHTRA,444105.0,IN
NIMBAHERA,RAJASTHAN,312620.0,IN
Imphal East,MANIPUR,795010.0,IN
BIDHAN NAGAR,WEST BENGAL,700064.0,IN
BENGALURU,KARNATAKA,560064.0,IN
AHMEDABAD,Gujarat,380015.0,IN
TIRUCHIRAPPALLI,TAMIL NADU,620001.0,IN
BHUBANESWAR,ODISHA,752054.0,IN
ALIGARH,UTTAR PRADESH,202001.0,IN
KOCHI,KERALA,682006.0,IN
GHAZIABAD,UTTAR PRADESH,201014.0,IN
PUNE,MAHARASHTRA,412207.0,IN
Bangalore,KARNATAKA,560016.0,IN
MALAPPURAM,KERALA,676517.0,IN
NOIDA,UTTAR PRADESH,201301.0,IN
GREATER NOIDA,UTTAR PRADESH,201308.0,IN
PATNA,BIHAR,800023.0,IN
SIBSAGAR,ASSAM,785674.0,IN
GAYA,BIHAR,823001.0,IN
BENGALURU,KARNATAKA,560083.0,IN
GURUGRAM,HARYANA,122001.0,IN
KOLLAM,KERALA,691522.0,IN
PERALASSERI,KERALA,670622.0,IN
BENGALURU,KARNATAKA,560102.0,IN
BENGALURU,KARNATAKA,560100.0,IN
UDUPI,KARNATAKA,576104.0,IN
MARIANI,ASSAM,785634.0,IN
NEW DELHI,DELHI,110075.0,IN
MANGALURU,KARNATAKA,575006.0,IN
AHMEDABAD,Gujarat,380022.0,IN
KOLKATA,WEST BENGAL,700051.0,IN
COOCH BEHAR,WEST BENGAL,736101.0,IN
BENGALURU,KARNATAKA,560029.0,IN
PUNE,MAHARASHTRA,411037.0,IN
DEHRADUN,UTTARAKHAND,248009.0,IN
JHARIA KHAS,JHARKHAND,828111.0,IN
KOLKATA,WEST BENGAL,700070.0,IN
Secunderabad,TELANGANA,500010.0,IN
UDAIPUR,RAJASTHAN,313001.0,IN
COIMBATORE,TAMIL NADU,641030.0,IN
BHUBANESWAR,ODISHA,751006.0,IN
BHAGALPUR,BIHAR,812003.0,IN
NAGPUR,MAHARASHTRA,440036.0,IN
CHENNAI,TAMIL NADU,600096.0,IN
BERHAMPORE,WEST BENGAL,742103.0,IN
Dehradun,UTTARAKHAND,248001.0,IN
SEONI,MADHYA PRADESH,480661.0,IN
Agra,UTTAR PRADESH,282002.0,IN
LUCKNOW,UTTAR PRADESH,226029.0,IN
BENGALURU,KARNATAKA,560067.0,IN
PATNA,BIHAR,800001.0,IN
GHAZIABAD,UTTAR PRADESH,201012.0,IN
Nermand,HIMACHAL PRADESH,172023.0,IN
CHENNAI,TAMIL NADU,600010.0,IN
